ln,fn,day,month,year,F,M,Similarity
MELVIN JR,HAROLD,10,7,2037,0,1,2
MELVIN JR,HAROLD,10,7,2037,0,1,2
MELVIN JR,HAROLD,10,7,2037,0,1,2
MELVIN JR,HAROLD,10,7,2037,0,1,2
MELVIN JR,HAROLD,10,7,2037,0,1,2
CHAVAS JR,HAROLD,10,7,2037,0,1,24
CHAVAS JR,HAROLD,10,7,2037,0,1,24
CHAVAS JR,HAROLD,10,7,2037,0,1,24
CHAVAS JR,HAROLD,10,7,2037,0,1,24
MICHAELSON JR,HAROLD,10,7,2037,0,1,27
MICHAELSON JR,HAROLD,10,7,2037,0,1,27
SMITH JR,HAROLD,10,7,2037,0,1,38
CHAVAS JR,HAROLD,10,7,2037,0,1,24
CHAVAS JR,HAROLD,10,7,2037,0,1,24
FAGEN JR,HAROLD,10,7,2037,0,1,47
FAGEN JR,HAROLD,10,7,2037,0,1,47
FAGEN JR,GEORGE,10,7,2037,0,1,35
GRIFFIN JR,DARH,10,7,2037,0,1,41
GRIFFIN JR,DARL,7,10,2037,0,1,6
GRIFFIN JR,DARL,5,7,2037,0,1,6
GRIFFIN JR,CLIFFORD,5,7,2037,0,1,26
GRIFFIN JR,CLIFFORD,5,7,2037,0,1,26
GRIFFIN JR,CLIFFORD,5,7,2037,0,1,26
GRIFFIN JR,CLARENCE,5,7,2037,0,1,44
HANNA,ADDISON J,24,11,2034,0,1,7
HANNA,ADDISON JOHN,24,11,2034,0,1,40
HANNA,ADDISON,24,11,2034,0,1,7
HANNA,ADDISON,24,11,2034,0,1,7
HANNA,ADDISON,24,11,2034,0,1,7
GALETICH JR,ADDISON,15,10,2032,0,1,23
FUNARO JONES,HARRIET,12,6,2037,1,0,12
FUNARO J,HARRIET,12,6,2037,1,0,12
FUNARO,HARRIET,12,6,2037,1,0,12
RAWAT,DHRUV,1,1,1990,0,1,9
SINGH RAWAT,DHRUV,1,1,1990,0,1,9
RAJ SINGH RAWAT,DHRUV,1,1,1990,0,1,9
